VIN,Make,Model,Year,Variant,Body_Type,Color,Fuel_Type,Transmission_Type,Engine_CC,Price
Lk86212523644,Tesla,Model 3,2021,Sport,Sedan,Gray,Petrol,Automatic,2000,72976
lF45509242406,Tesla,Model S,2019,Sport,Sedan,Gray,Hybrid,Automatic,1500,61544
gA59311430845,Tesla,Model 3,2023,LX,Sedan,Red,Diesel,Manual,2500,34293
Tj79371856990,Honda,CR-V,2018,LX,SUV,Red,Hybrid,Manual,1500,76797
oI50197220988,Tesla,Model 3,2020,Premium,Sedan,White,Hybrid,Automatic,1800,58328
rn64202199445,BMW,X5,2021,Premium,SUV,Blue,Electric,Automatic,3000,44039
IT44024144974,Ford,Explorer,2023,LX,SUV,Blue,Petrol,Manual,1800,65451
hc60484557242,Ford,Mustang,2023,SE,Coupe,Gray,Electric,Manual,1800,31854
UT49675467653,Ford,Mustang,2019,XLE,Coupe,White,Petrol,Manual,1500,60994
YW50390155649,Ford,F-150,2023,Premium,Truck,Red,Electric,Manual,2000,31179
Ba42753166897,Tesla,Model 3,2024,Premium,Sedan,Black,Hybrid,Manual,3000,27415
JL17672579690,Honda,CR-V,2023,Premium,SUV,White,Diesel,Manual,2500,77232
Qm46918022526,Tesla,Model 3,2022,XLE,Sedan,Gray,Diesel,Manual,1500,56834
ey53362424643,Toyota,Corolla,2025,XLE,Sedan,Blue,Electric,Automatic,1800,67988
ke87256592055,BMW,X5,2021,Sport,SUV,Gray,Electric,Automatic,3000,22475
cG60004470831,Tesla,Model 3,2025,Premium,Sedan,Black,Petrol,Manual,2500,67046
Zi75956451239,Tesla,Model 3,2024,Premium,Sedan,Red,Electric,Automatic,3000,62646
hn83748011251,Tesla,Model 3,2022,SE,Sedan,White,Petrol,Automatic,3000,74690
sh04183466154,Toyota,RAV4,2020,Premium,SUV,White,Hybrid,Manual,1800,36637
wh06697912592,Toyota,Corolla,2020,XLE,Sedan,Gray,Diesel,Manual,2500,20826
Wd18675798936,Tesla,Model Y,2018,SE,SUV,Blue,Hybrid,Manual,1800,72835
hA85804365837,Honda,CR-V,2021,XLE,SUV,Red,Electric,Manual,1500,72285
cf49305295544,Toyota,RAV4,2019,Sport,SUV,Gray,Hybrid,Manual,2500,26317
bo95046667216,BMW,X5,2025,Sport,SUV,Blue,Petrol,Manual,1500,20811
Xb39436144724,Ford,Mustang,2025,Sport,Coupe,Blue,Diesel,Manual,1500,34670
FC09890722649,Honda,Accord,2018,SE,Sedan,Blue,Diesel,Automatic,1800,53777
iK16308145421,BMW,5 Series,2019,SE,Sedan,Red,Electric,Manual,1500,24980
Hg08169259757,Tesla,Model S,2023,Sport,Sedan,Black,Petrol,Manual,2000,36492
Gr45970024465,BMW,3 Series,2022,XLE,Sedan,Blue,Diesel,Manual,3000,47312
Kc63032728539,Toyota,RAV4,2021,Sport,SUV,Red,Electric,Manual,3000,61080
nR76498157430,Toyota,RAV4,2019,Premium,SUV,Black,Hybrid,Manual,1500,51089
nk82985801010,BMW,X5,2025,Sport,SUV,White,Hybrid,Manual,2500,53771
UA75515084606,Ford,Mustang,2022,Sport,Coupe,White,Hybrid,Automatic,2500,34071
OD23431893431,BMW,3 Series,2021,Premium,Sedan,Red,Diesel,Manual,2500,75261
Bo72514924883,Toyota,RAV4,2018,LX,SUV,White,Electric,Manual,3000,55460
oC45364912111,Ford,Explorer,2019,Sport,SUV,White,Petrol,Manual,2000,48506
zx30094575144,Honda,Civic,2020,Premium,Sedan,White,Hybrid,Automatic,2000,38985
ID55642123672,Ford,Mustang,2019,XLE,Coupe,Blue,Petrol,Manual,1500,47801
XR74086350342,Tesla,Model 3,2019,XLE,Sedan,Gray,Diesel,Automatic,3000,46498
Xk06147011580,Ford,Mustang,2024,XLE,Coupe,Red,Diesel,Manual,2500,58502
ZL45441329357,Toyota,Camry,2024,Sport,Sedan,White,Electric,Manual,1800,56500
YC78952733618,Honda,Accord,2024,Premium,Sedan,Gray,Diesel,Automatic,3000,56620
jj60203015140,Tesla,Model 3,2021,XLE,Sedan,Blue,Diesel,Automatic,1500,32964
ij23298892034,Ford,F-150,2025,XLE,Truck,Gray,Hybrid,Manual,2500,46792
ga79326507066,Tesla,Model S,2022,Premium,Sedan,White,Petrol,Automatic,2500,78133
yI23999286453,Toyota,Corolla,2023,SE,Sedan,Gray,Petrol,Automatic,2000,37301
Dz95006088559,Honda,CR-V,2025,LX,SUV,Black,Hybrid,Automatic,1800,41875
td29066350648,Honda,CR-V,2024,SE,SUV,Red,Hybrid,Automatic,1500,71957
LN33202216991,BMW,X5,2022,Sport,SUV,White,Petrol,Manual,1500,44764
zV18698380260,Tesla,Model Y,2018,SE,SUV,White,Petrol,Automatic,1500,59753
